,day,drop,file_name,fps,frames,height,plate,tracked,width
261,17,,pl65_day17.mov,7.987,1044,576,65,No,784
262,17,,pl66_day17.mov,7.987,1047,576,66,No,784
263,17,,pl67_day17.mov,7.987,1007,576,67,No,784
264,17,,pl68_day17.mov,7.987,1044,576,68,No,784
265,17,,pl69_day17.mov,7.987,1026,576,69,No,784
266,17,,pl70_day17.mov,7.987,1044,576,70,No,784
267,17,,pl71_day17.mov,7.987,1037,576,71,No,784
268,17,,pl72_day17.mov,7.987,1095,576,72,No,784
269,17,,pl73_day17.mov,7.987,1042,576,73,No,784
270,17,,pl74_day17.mov,7.987,1041,576,74,No,784
271,17,,plt10_day17.mov,7.987,1003,576,10,No,784
272,17,,plt11_day17.mov,7.987,1058,576,11,No,784
273,17,,plt12_day17.mov,7.987,986,576,12,No,784
274,17,,plt13_day17.mov,7.987,1168,576,13,No,784
275,17,,plt14_day17.mov,7.987,1005,576,14,No,784
276,17,,plt15_day17.mov,7.987,1001,576,15,No,784
277,17,,plt16_day17.mov,7.987,1004,576,16,No,784
278,17,,plt17_day17.mov,7.987,985,576,17,No,784
279,17,,plt18_day17.mov,7.987,1007,576,18,No,784
280,17,,plt19_day17.mov,7.987,1008,576,19,No,784
281,17,,plt1_day17.mov,7.987,1129,576,01,No,784
282,17,,plt20_day17.mov,7.987,1044,576,20,No,784
283,17,,plt21_day17.mov,7.987,1003,576,21,No,784
284,17,,plt22_day17.mov,7.987,989,576,22,No,784
285,17,,plt23_day17.mov,7.987,1003,576,23,No,784
286,17,,plt24_day17.mov,7.987,1008,576,24,No,784
287,17,,plt25_day17.mov,7.987,998,576,25,No,784
288,17,,plt2_day17.mov,7.987,1002,576,02,No,784
289,17,,plt3_day17.mov,7.987,995,576,03,No,784
290,15,,plt4_day15.mov,7.987,1004,576,04,No,784
291,17,,plt5_day17.mov,7.987,1003,576,05,No,784
292,17,,plt6_day17.mov,7.987,1015,576,06,No,784
293,17,,plt7_day17.mov,7.987,994,576,07,No,784
294,17,,plt8_day17.mov,7.987,1003,576,08,No,784
295,17,,plt9_day17.mov,7.987,1025,576,09,No,784
296,19,,pl10_day19.mov,7.987,993,576,10,No,784
297,19,,pl11_day19.mov,7.987,997,576,11,No,784
298,19,,pl12_day19.mov,7.987,984,576,12,No,784
299,19,,pl13_day19.mov,7.987,988,576,13,No,784
300,19,,pl14_day19.mov,7.987,1004,576,14,No,784
301,19,,pl15_day19.mov,7.987,996,576,15,No,784
302,19,,pl16_day19.mov,7.987,1007,576,16,No,784
303,19,,pl17_day19.mov,7.987,993,576,17,No,784
304,19,,pl18_day19.mov,7.987,1013,576,18,No,784
305,19,,pl19_day19.mov,7.987,1010,576,19,No,784
306,19,,pl1_day19.mov,7.987,987,576,01,No,784
307,19,,pl20_day19.mov,7.987,1003,576,20,No,784
308,19,,pl21_day19.mov,7.987,1000,576,21,No,784
309,19,,pl22_day19.mov,7.987,1038,576,22,No,784
310,19,,pl23_day19.mov,7.987,1008,576,23,No,784
311,19,,pl24_day19.mov,7.987,990,576,24,No,784
312,19,,pl25_day19.mov,7.987,994,576,25,No,784
313,19,,pl26_day19.mov,7.987,984,576,26,No,784
314,19,,pl27_day19.mov,7.987,1048,576,27,No,784
315,19,,pl28_day19.mov,7.987,995,576,28,No,784
316,19,,pl29_day19.mov,7.987,994,576,29,No,784
317,19,,pl2_day19.mov,7.987,1003,576,02,No,784
318,19,,pl30_day19.mov,7.987,1082,576,30,No,784
319,19,,pl31_day19.mov,7.987,992,576,31,No,784
320,19,,pl32_day19.mov,7.987,994,576,32,No,784
321,19,,pl33_day19.mov,7.987,990,576,33,No,784
322,19,,pl34_day19.mov,7.987,1009,576,34,No,784
323,19,,pl35_day19.mov,7.987,1007,576,35,No,784
324,19,,pl36_day19.mov,7.987,986,576,36,No,784
325,19,,pl37_day19.mov,7.987,992,576,37,No,784
326,19,,pl38_day19.mov,7.987,1000,576,38,No,784
327,19,,pl39_day19.mov,7.987,994,576,39,No,784
328,19,,pl3_day19.mov,7.987,994,576,03,No,784
329,19,,pl40_day19.mov,7.987,988,576,40,No,784
330,19,,pl41_day19.mov,7.987,994,576,41,No,784
331,19,,pl42_day19.mov,7.987,986,576,42,No,784
332,19,,pl43_day19.mov,7.987,1001,576,43,No,784
333,19,,pl44_day19.mov,7.987,1003,576,44,No,784
334,19,,pl45_day19.mov,7.987,992,576,45,No,784
335,19,,pl46_day19.mov,7.987,1018,576,46,No,784
336,19,,pl47_day19.mov,7.987,1006,576,47,No,784
337,19,,pl48_day19.mov,7.987,994,576,48,No,784
338,19,,pl49_day19.mov,7.987,986,576,49,No,784
339,19,,pl4_day19.mov,7.987,995,576,04,No,784
340,19,,pl50_day19.mov,7.987,986,576,50,No,784
341,19,,pl51_day19.mov,7.987,993,576,51,No,784
342,19,,pl52_day19.mov,7.987,995,576,52,No,784
343,19,,pl53_day19.mov,7.987,994,576,53,No,784
344,19,,pl54_day19.mov,7.987,994,576,54,No,784
345,19,,pl55_day19.mov,7.987,986,576,55,No,784
346,19,,pl56_day19.mov,7.987,996,576,56,No,784
347,19,,pl57_day19.mov,7.987,1008,576,57,No,784
348,19,,pl58_day19.mov,7.987,986,576,58,No,784
349,19,,pl59_day19.mov,7.987,995,576,59,No,784
350,19,,pl5_day19.mov,7.987,993,576,05,No,784
351,19,,pl60_day19.mov,7.987,991,576,60,No,784
352,19,,pl61_day19.mov,7.987,994,576,61,No,784
353,19,,pl62_day19.mov,7.987,991,576,62,No,784
354,19,,pl63_day19.mov,7.987,995,576,63,No,784
355,19,,pl64_day19.mov,7.987,991,576,64,No,784
356,19,,pl65_day19.mov,7.987,994,576,65,No,784
357,19,,pl66_day19.mov,7.987,999,576,66,No,784
358,19,,pl67_day19.mov,7.987,991,576,67,No,784
359,19,,pl68_day19.mov,7.987,993,576,68,No,784
360,19,,pl69_day19.mov,7.987,992,576,69,No,784
361,19,,pl6_day19.mov,7.987,998,576,06,No,784
362,19,,pl70_day19.mov,7.987,984,576,70,No,784
363,19,,pl71_day19.mov,7.987,995,576,71,No,784
364,19,,pl72_day19.mov,7.987,992,576,72,No,784
365,19,,pl73_day19.mov,7.987,993,576,73,No,784
366,19,,pl74_day19.mov,7.987,994,576,74,No,784
