index,day,drop,drop_img_sim,file_name,fps,frames,height,plate,tracked,width
197,15,489,0.559760038,plt10_day15.mov,7.987,1031,576,10,No,784
198,15,519,0.683816177,plt11_day15.mov,7.987,1041,576,11,No,784
199,15,489,0.529012305,plt12_day15.mov,7.987,1016,576,12,No,784
200,15,485,0.566973499,plt13_day15.mov,7.987,992,576,13,No,784
201,15,489,0.567704489,plt14_day15.mov,7.987,997,576,14,No,784
202,15,490,0.573780817,plt15_day15.mov,7.987,994,576,15,No,784
203,15,501,0.570462752,plt16_day15.mov,7.987,995,576,16,No,784
204,15,489,0.563900908,plt17_day15.mov,7.987,1002,576,17,No,784
205,15,660,0.686874798,plt18_day15.mov,7.987,1133,576,18,No,784
206,15,515,0.586271322,plt19_day15.mov,7.987,1013,576,19,No,784
207,15,494,0.614378887,plt1_day15.mov,7.987,995,576,1,No,784
208,15,491,0.632442019,plt20_day15.mov,7.987,987,576,20,No,784
209,15,434,0.681779528,plt21_day15.mov,7.987,995,576,21,No,784
210,15,592,0.534837471,plt22_day15.mov,7.987,1084,576,22,No,784
211,15,499,0.763778321,plt23_day15.mov,7.987,995,576,23,No,784
212,15,483,0.63037881,plt24_day15.mov,7.987,988,576,24,No,784
213,15,488,0.594475661,plt25_day15.mov,7.987,993,576,25,No,784
214,15,598,0.493766374,plt2_day15.mov,7.987,1082,576,2,No,784
215,15,495,0.561317791,plt3_day15.mov,7.987,992,576,3,No,784
216,15,496,0.612341298,plt4_day15.mov,7.987,995,576,4,No,784
217,15,615,0.616070335,plt5_day15.mov,7.987,1120,576,5,No,784
218,15,489,0.661178452,plt6_day15.mov,7.987,1012,576,6,No,784
219,15,497,0.607804281,plt7_day15.mov,7.987,1023,576,7,No,784
220,15,563,0.69755013,plt8_day15.mov,7.987,1067,576,8,No,784
221,15,486,0.607600632,plt9_day15.mov,7.987,996,576,9,No,784
222,17,491,0.645424504,pl26_day17.mov,7.987,1009,576,26,No,784
223,17,510,0.592811861,pl27_day17.mov,7.987,1002,576,27,No,784
224,17,489,0.682468571,pl28_day17.mov,7.987,991,576,28,No,784
225,17,490,0.557480984,pl29_day17.mov,7.987,993,576,29,No,784
226,17,492,0.636947697,pl30_day17.mov,7.987,1005,576,30,No,784
227,17,489,0.663024258,pl31_day17.mov,7.987,993,576,31,No,784
228,17,493,0.597014709,pl32_day17.mov,7.987,992,576,32,No,784
229,17,490,0.540209009,pl33_day17.mov,7.987,1027,576,33,No,784
230,17,489,0.570583849,pl34_day17.mov,7.987,992,576,34,No,784
231,17,489,0.642350032,pl35_day17.mov,7.987,993,576,35,No,784
232,17,489,0.625013867,pl36_day17.mov,7.987,991,576,36,No,784
233,17,490,0.740285979,pl37_day17.mov,7.987,991,576,37,No,784
234,17,491,0.672513781,pl38_day17.mov,7.987,993,576,38,No,784
235,17,508,0.632230702,pl39_day17.mov,7.987,1008,576,39,No,784
236,17,489,0.727364926,pl40_day17.mov,7.987,1035,576,40,No,784
237,17,488,0.579619376,pl41_day17.mov,7.987,990,576,41,No,784
238,17,501,0.615415515,pl42_day17.mov,7.987,1001,576,42,No,784
239,17,490,0.636978976,pl43_day17.mov,7.987,993,576,43,No,784
240,17,501,0.711176746,pl44_day17.mov,7.987,997,576,44,No,784
241,17,489,0.613069457,pl45_day17.mov,7.987,991,576,45,No,784
242,17,489,0.714964727,pl46_day17.mov,7.987,993,576,46,No,784
243,17,490,0.624231803,pl47_day17.mov,7.987,992,576,47,No,784
244,17,488,0.589070585,pl48_day17.mov,7.987,1003,576,48,No,784
245,17,489,0.710887224,pl49_day17.mov,7.987,986,576,49,No,784
246,17,491,0.670951286,pl50_day17.mov,7.987,988,576,50,No,784
247,17,505,0.779859366,pl51_day17.mov,7.987,1045,576,51,No,784
248,17,500,0.567776097,pl52_day17.mov,7.987,1044,576,52,No,784
249,17,515,0.648549817,pl53_day17.mov,7.987,1073,576,53,No,784
250,17,489,0.675618814,pl54_day17.mov,7.987,1042,576,54,No,784
251,17,500,0.587424549,pl55_day17.mov,7.987,1044,576,55,No,784
252,17,505,0.566919197,pl56_day17.mov,7.987,1042,576,56,No,784
253,17,508,0.663984692,pl57_day17.mov,7.987,1031,576,57,No,784
254,17,496,0.74579552,pl58_day17.mov,7.987,1046,576,58,No,784
255,17,539,0.5789482,pl59_day17.mov,7.987,1126,576,59,No,784
256,17,495,0.643019954,pl60_day17.mov,7.987,1042,576,60,No,784
257,17,507,0.665686069,pl61_day17.mov,7.987,1042,576,61,No,784
258,17,493,0.703861169,pl62_day17.mov,7.987,1005,576,62,No,784
259,17,499,0.74403653,pl63_day17.mov,7.987,1051,576,63,No,784
260,17,501,0.617055006,pl64_day17.mov,7.987,1044,576,64,No,784
261,17,503,0.727198389,pl65_day17.mov,7.987,1044,576,65,No,784
262,17,503,0.639935815,pl66_day17.mov,7.987,1047,576,66,No,784
263,17,493,0.636387372,pl67_day17.mov,7.987,1007,576,67,No,784
264,17,496,0.597214869,pl68_day17.mov,7.987,1044,576,68,No,784
265,17,496,0.661190297,pl69_day17.mov,7.987,1026,576,69,No,784
266,17,493,0.601699199,pl70_day17.mov,7.987,1044,576,70,No,784
267,17,496,0.659764172,pl71_day17.mov,7.987,1037,576,71,No,784
268,17,501,0.677983092,pl72_day17.mov,7.987,1095,576,72,No,784
269,17,490,0.662877811,pl73_day17.mov,7.987,1042,576,73,No,784
270,17,490,0.588980102,pl74_day17.mov,7.987,1041,576,74,No,784
271,17,483,0.653567636,plt10_day17.mov,7.987,1003,576,10,No,784
272,17,560,0.570355619,plt11_day17.mov,7.987,1058,576,11,No,784
273,17,499,0.531318184,plt12_day17.mov,7.987,986,576,12,No,784
274,17,666,0.551246456,plt13_day17.mov,7.987,1168,576,13,No,784
275,17,485,0.568186955,plt14_day17.mov,7.987,1005,576,14,No,784
276,17,490,0.55382435,plt15_day17.mov,7.987,1001,576,15,No,784
277,17,489,0.513598116,plt16_day17.mov,7.987,1004,576,16,No,784
278,17,488,0.548008223,plt17_day17.mov,7.987,985,576,17,No,784
279,17,493,0.591900745,plt18_day17.mov,7.987,1007,576,18,No,784
280,17,508,0.508712428,plt19_day17.mov,7.987,1008,576,19,No,784
281,17,589,0.514386378,plt1_day17.mov,7.987,1129,576,1,No,784
282,17,560,0.63688714,plt20_day17.mov,7.987,1044,576,20,No,784
283,17,481,0.644174442,plt21_day17.mov,7.987,1003,576,21,No,784
284,17,485,0.651567603,plt22_day17.mov,7.987,989,576,22,No,784
285,17,495,0.542693053,plt23_day17.mov,7.987,1003,576,23,No,784
286,17,514,0.573274998,plt24_day17.mov,7.987,1008,576,24,No,784
287,17,492,0.55762444,plt25_day17.mov,7.987,998,576,25,No,784
288,17,502,0.524328955,plt2_day17.mov,7.987,1002,576,2,No,784
289,17,501,0.581494328,plt3_day17.mov,7.987,995,576,3,No,784
290,17,514,0.60219343,plt4_day17.mov,7.987,1004,576,4,No,784
291,17,503,0.519518378,plt5_day17.mov,7.987,1003,576,5,No,784
292,17,513,0.558253018,plt6_day17.mov,7.987,1015,576,6,No,784
293,17,507,0.472700078,plt7_day17.mov,7.987,994,576,7,No,784
294,17,485,0.582435564,plt8_day17.mov,7.987,1003,576,8,No,784
295,17,487,0.547702637,plt9_day17.mov,7.987,1025,576,9,No,784
296,19,491,0.601346646,pl10_day19.mov,7.987,993,576,10,No,784
297,19,500,0.782378181,pl11_day19.mov,7.987,997,576,11,No,784
298,19,498,0.644476363,pl12_day19.mov,7.987,984,576,12,No,784
299,19,494,0.490990052,pl13_day19.mov,7.987,988,576,13,No,784
300,19,506,0.688971793,pl14_day19.mov,7.987,1004,576,14,No,784
301,19,494,0.582220861,pl15_day19.mov,7.987,996,576,15,No,784
302,19,507,0.592593973,pl16_day19.mov,7.987,1007,576,16,No,784
303,19,489,0.661066967,pl17_day19.mov,7.987,993,576,17,No,784
304,19,514,0.597219507,pl18_day19.mov,7.987,1013,576,18,No,784
305,19,514,0.54695954,pl19_day19.mov,7.987,1010,576,19,No,784
306,19,490,0.585687698,pl1_day19.mov,7.987,987,576,1,No,784
307,19,493,0.560171683,pl20_day19.mov,7.987,1003,576,20,No,784
308,19,495,0.64856322,pl21_day19.mov,7.987,1000,576,21,No,784
309,19,463,0.518758607,pl22_day19.mov,7.987,1038,576,22,No,784
310,19,505,0.580960433,pl23_day19.mov,7.987,1008,576,23,No,784
311,19,494,0.572636658,pl24_day19.mov,7.987,990,576,24,No,784
312,19,483,0.593557541,pl25_day19.mov,7.987,994,576,25,No,784
313,19,490,0.602582021,pl26_day19.mov,7.987,984,576,26,No,784
314,19,532,0.545832436,pl27_day19.mov,7.987,1048,576,27,No,784
315,19,485,0.580540829,pl28_day19.mov,7.987,995,576,28,No,784
316,19,493,0.60268522,pl29_day19.mov,7.987,994,576,29,No,784
317,19,503,0.556759723,pl2_day19.mov,7.987,1003,576,2,No,784
318,19,547,0.613425659,pl30_day19.mov,7.987,1082,576,30,No,784
319,19,485,0.539927239,pl31_day19.mov,7.987,992,576,31,No,784
320,19,487,0.62053823,pl32_day19.mov,7.987,994,576,32,No,784
321,19,489,0.673242898,pl33_day19.mov,7.987,990,576,33,No,784
322,19,488,0.574943053,pl34_day19.mov,7.987,1009,576,34,No,784
323,19,485,0.570528349,pl35_day19.mov,7.987,1007,576,35,No,784
324,19,484,0.642770727,pl36_day19.mov,7.987,986,576,36,No,784
325,19,486,0.586352891,pl37_day19.mov,7.987,992,576,37,No,784
326,19,494,0.533861659,pl38_day19.mov,7.987,1000,576,38,No,784
327,19,487,0.557898642,pl39_day19.mov,7.987,994,576,39,No,784
328,19,486,0.542843098,pl3_day19.mov,7.987,994,576,3,No,784
329,19,485,0.653678566,pl40_day19.mov,7.987,988,576,40,No,784
330,19,493,0.543250668,pl41_day19.mov,7.987,994,576,41,No,784
331,19,486,0.557111505,pl42_day19.mov,7.987,986,576,42,No,784
332,19,485,0.587163643,pl43_day19.mov,7.987,1001,576,43,No,784
333,19,493,0.63849937,pl44_day19.mov,7.987,1003,576,44,No,784
334,19,482,0.560600384,pl45_day19.mov,7.987,992,576,45,No,784
335,19,508,0.577005918,pl46_day19.mov,7.987,1018,576,46,No,784
336,19,486,0.607926481,pl47_day19.mov,7.987,1006,576,47,No,784
337,19,488,0.728821657,pl48_day19.mov,7.987,994,576,48,No,784
338,19,485,0.55757215,pl49_day19.mov,7.987,986,576,49,No,784
339,19,503,0.586404383,pl4_day19.mov,7.987,995,576,4,No,784
340,19,484,0.536848277,pl50_day19.mov,7.987,986,576,50,No,784
341,19,490,0.722475962,pl51_day19.mov,7.987,993,576,51,No,784
342,19,494,0.693168464,pl52_day19.mov,7.987,995,576,52,No,784
343,19,489,0.591731589,pl53_day19.mov,7.987,994,576,53,No,784
344,19,492,0.570747924,pl54_day19.mov,7.987,994,576,54,No,784
345,19,490,0.630432842,pl55_day19.mov,7.987,986,576,55,No,784
346,19,493,0.654369732,pl56_day19.mov,7.987,996,576,56,No,784
347,19,491,0.576160342,pl57_day19.mov,7.987,1008,576,57,No,784
348,19,492,0.609757839,pl58_day19.mov,7.987,986,576,58,No,784
349,19,488,0.640796767,pl59_day19.mov,7.987,995,576,59,No,784
350,19,492,0.734530286,pl5_day19.mov,7.987,993,576,5,No,784
351,19,490,0.600697488,pl60_day19.mov,7.987,991,576,60,No,784
352,19,486,0.518375021,pl61_day19.mov,7.987,994,576,61,No,784
353,19,489,0.756125327,pl62_day19.mov,7.987,991,576,62,No,784
354,19,490,0.750841466,pl63_day19.mov,7.987,995,576,63,No,784
355,19,493,0.64223413,pl64_day19.mov,7.987,991,576,64,No,784
356,19,490,0.671242343,pl65_day19.mov,7.987,994,576,65,No,784
357,19,491,0.848112637,pl66_day19.mov,7.987,999,576,66,No,784
358,19,489,0.682859424,pl67_day19.mov,7.987,991,576,67,No,784
359,19,490,0.692269544,pl68_day19.mov,7.987,993,576,68,No,784
360,19,492,0.606114776,pl69_day19.mov,7.987,992,576,69,No,784
